sample_name,FigD_label
F2S4_151217_005_C01,L4 IT VISp Rspo1
F2S4_151217_005_E01,L4 IT VISp Rspo1
F2S4_151217_005_F01,L4 IT VISp Rspo1
F2S4_151217_005_G01,L4 IT VISp Rspo1
F2S4_151217_005_H01,L4 IT VISp Rspo1
F2S4_151217_006_A01,L4 IT VISp Rspo1
F2S4_151217_006_C01,L2/3 IT VISp Agmat
F2S4_151217_006_D01,L4 IT VISp Rspo1
F2S4_151217_006_E01,L4 IT VISp Rspo1
F2S4_151217_006_F01,L4 IT VISp Rspo1
F2S4_151217_006_G01,L4 IT VISp Rspo1
F2S4_151217_007_A01,L2/3 IT VISp Agmat
F2S4_151217_007_B01,L4 IT VISp Rspo1
F2S4_151217_007_C01,L4 IT VISp Rspo1
F2S4_151217_007_D01,L4 IT VISp Rspo1
F2S4_151217_007_E01,L4 IT VISp Rspo1
F2S4_151217_007_F01,L4 IT VISp Rspo1
F2S4_151217_007_G01,L4 IT VISp Rspo1
F2S4_151217_007_H01,L4 IT VISp Rspo1
F2S4_151217_008_A01,L4 IT VISp Rspo1
F2S4_151217_008_B01,L4 IT VISp Rspo1
F2S4_151217_008_C01,L4 IT VISp Rspo1
F2S4_151217_008_E01,L4 IT VISp Rspo1
F2S4_151217_008_F01,L4 IT VISp Rspo1
F2S4_151217_008_G01,L4 IT VISp Rspo1
F2S4_151217_008_H01,L4 IT VISp Rspo1
F2S4_151217_009_D01,L5 IT VISp Hsd11b1 Endou
F2S4_151217_010_D01,L4 IT VISp Rspo1
F2S4_151217_010_G01,L5 IT VISp Batf3
F2S4_151217_011_A01,L6 IT VISp Car3
F2S4_151217_011_B01,L2/3 IT VISp Agmat
F2S4_151217_011_C01,L6 IT VISp Penk Col27a1
F2S4_151217_011_E01,L6 IT VISp Penk Col27a1
F2S4_151217_011_G01,L6 IT VISp Penk Fst
F2S4_151217_012_A01,L6 IT VISp Penk Col27a1
F2S4_151217_012_C01,L6 IT VISp Penk Fst
F2S4_151217_012_D01,L6 IT VISp Car3
F2S4_151217_012_E01,L6 IT VISp Penk Col27a1
F2S4_151217_013_C01,L6 IT VISp Penk Col27a1
F2S4_151217_013_F01,L6 IT VISp Col23a1 Adamts2
F2S4_151217_013_H01,L6 IT VISp Penk Col27a1
F2S4_151217_014_A01,L6 IT VISp Col18a1
F2S4_151217_014_B01,L6 IT VISp Penk Fst
F2S4_151217_014_C01,L6 IT VISp Penk Col27a1
F2S4_151217_014_D01,L6 IT VISp Col23a1 Adamts2
F2S4_151217_014_G01,L6 IT VISp Penk Fst
F2S4_151217_014_H01,L6 IT VISp Penk Col27a1
F2S4_160113_001_A01,L2/3 IT VISp Agmat
F2S4_160113_001_B01,L2/3 IT VISp Agmat
F2S4_160113_001_C01,L2/3 IT VISp Agmat
F2S4_160113_001_D01,L2/3 IT VISp Agmat
F2S4_160113_001_E01,L2/3 IT VISp Agmat
